antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-24,151.65,154.64,151.65,155.3
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-25,151.65,154.69,151.65,155.3
-1,ribeirao-preto-sp-sao-paulo-sp,2026-03-26,152.62,152.53,152.99,153.15
-1,ribeirao-preto-sp-sao-paulo-sp,2026-03-27,166.13,175.22,157.1,165.42
-1,ribeirao-preto-sp-sao-paulo-sp,2026-03-28,151.92,153.11,152.75,155.3
-1,ribeirao-preto-sp-sao-paulo-sp,2026-03-29,173.11,176.74,158.9,158.9
-1,ribeirao-preto-sp-sao-paulo-sp,2026-03-30,153.11,152.74,155.3,155.3
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-31,152.78,154.64,152.7,155.3
1,ribeirao-preto-sp-sao-paulo-sp,2026-04-01,156.27,158.23,155.3,156.2
2,ribeirao-preto-sp-sao-paulo-sp,2026-04-02,159.4,160.06,155.3,158.9
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-23,133.98,122.99,124.99,124.21
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-24,132.8,117.43,124.99,119.1
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-25,136.92,117.12,124.99,119.06
-1,rio-de-janeiro-rj-sao-paulo-sp,2026-03-26,137.66,130.74,148.49,134.16
-1,rio-de-janeiro-rj-sao-paulo-sp,2026-03-27,138.66,129.06,148.49,133.42
-1,rio-de-janeiro-rj-sao-paulo-sp,2026-03-28,128.75,126.76,139.95,129.99
-1,rio-de-janeiro-rj-sao-paulo-sp,2026-03-29,136.77,131.23,146.74,133.43
-1,rio-de-janeiro-rj-sao-paulo-sp,2026-03-30,130.89,132.83,140.0,134.2
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-31,121.34,117.43,119.99,119.1
1,rio-de-janeiro-rj-sao-paulo-sp,2026-04-01,126.13,115.25,124.99,118.36
2,rio-de-janeiro-rj-sao-paulo-sp,2026-04-02,155.21,116.95,149.99,121.71
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-23,222.99,252.26,222.99,249.22
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-24,230.99,235.14,230.99,230.0
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-25,233.16,237.07,224.0,233.24
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-26,238.41,235.91,240.99,231.48
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-27,260.61,244.04,234.98,232.98
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-28,239.12,250.84,233.98,239.97
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-29,234.13,246.4,232.99,241.98
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-30,231.61,251.27,233.49,244.22
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-31,237.71,235.14,233.98,230.0
1,rio-de-janeiro-rj-uberlandia-mg,2026-04-01,244.48,237.07,232.99,233.24
2,rio-de-janeiro-rj-uberlandia-mg,2026-04-02,316.18,240.08,325.96,237.99
1,rio-de-janeiro-rj-vitoria-es,2026-03-23,134.71,157.26,129.9,159.9
1,rio-de-janeiro-rj-vitoria-es,2026-03-24,132.22,149.76,129.9,150.57
1,rio-de-janeiro-rj-vitoria-es,2026-03-25,131.11,151.29,129.9,153.65
0,rio-de-janeiro-rj-vitoria-es,2026-03-26,132.3,142.16,132.78,132.43
0,rio-de-janeiro-rj-vitoria-es,2026-03-27,139.51,156.99,129.93,146.41
0,rio-de-janeiro-rj-vitoria-es,2026-03-28,129.43,154.12,129.9,142.91
0,rio-de-janeiro-rj-vitoria-es,2026-03-29,140.49,160.85,129.94,149.91
0,rio-de-janeiro-rj-vitoria-es,2026-03-30,133.29,159.0,119.94,159.15
0,rio-de-janeiro-rj-vitoria-es,2026-03-31,133.64,145.78,129.94,130.06
1,rio-de-janeiro-rj-vitoria-es,2026-04-01,139.16,151.29,139.94,153.65
2,rio-de-janeiro-rj-vitoria-es,2026-04-02,194.81,148.58,195.72,152.9
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-23,47.28,47.24,47.8,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-24,47.1,46.58,47.8,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-25,47.1,47.68,47.8,49.0
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-26,50.6,46.91,50.3,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-27,51.75,47.17,50.3,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-28,49.19,47.74,50.3,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-29,46.87,48.24,47.8,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-30,48.43,47.24,50.3,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-31,48.35,46.58,50.3,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-01,47.1,47.68,47.8,49.0
2,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-02,46.68,45.43,47.8,45.13
1,sao-paulo-sp-vitoria-es,2026-03-23,266.83,279.02,269.91,272.7
1,sao-paulo-sp-vitoria-es,2026-03-24,300.86,255.11,310.64,238.31
1,sao-paulo-sp-vitoria-es,2026-03-25,252.36,250.08,253.55,256.31
0,sao-paulo-sp-vitoria-es,2026-03-26,348.21,305.76,348.21,303.77
0,sao-paulo-sp-vitoria-es,2026-03-27,314.8,267.57,286.52,267.38
1,sao-paulo-sp-vitoria-es,2026-03-28,271.09,270.25,279.91,259.91
0,sao-paulo-sp-vitoria-es,2026-03-29,250.87,281.76,250.87,299.47
0,sao-paulo-sp-vitoria-es,2026-03-30,329.01,288.83,288.49,277.85
0,sao-paulo-sp-vitoria-es,2026-03-31,307.36,274.27,294.27,272.71
1,sao-paulo-sp-vitoria-es,2026-04-01,290.84,250.08,287.51,256.31
2,sao-paulo-sp-vitoria-es,2026-04-02,323.22,263.53,288.49,239.91
